Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,ETF
NOVN,NOVARTIS AG,Health Care,Equity,"2,692,932.27",1.13,"2,692,932.27","17,738.00",151.82,Switzerland,SIX Swiss Exchange,USD,0.78,AQLT
KO,COCA-COLA,Consumer Staples,Equity,"2,691,918.72",1.13,"2,691,918.72","35,664.00",75.48,United States,NYSE,USD,1,AQLT
AZN,ASTRAZENECA PLC,Health Care,Equity,"2,682,128.56",1.13,"2,682,128.56","13,265.00",202.2,United Kingdom,London Stock Exchange,USD,0.74,AQLT
MRK,MERCK & CO INC,Health Care,Equity,"2,652,315.00",1.12,"2,652,315.00","22,650.00",117.1,United States,NYSE,USD,1,AQLT
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"2,522,978.15",1.06,"2,522,978.15","28,765.00",87.71,United States,NASDAQ,USD,1,AQLT
GE,GE AEROSPACE,Industrials,Equity,"2,243,907.60",0.95,"2,243,907.60","7,391.00",303.6,United States,NYSE,USD,1,AQLT
KLAC,KLA CORP,Information Technology,Equity,"2,189,853.16",0.92,"2,189,853.16","1,213.00","1,805.32",United States,NASDAQ,USD,1,AQLT
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"2,068,978.08",0.87,"2,068,978.08","6,396.00",323.48,United States,NYSE,USD,1,AQLT
NESN,NESTLE SA,Consumer Staples,Equity,"1,930,700.91",0.81,"1,930,700.91","19,576.00",98.63,Switzerland,SIX Swiss Exchange,USD,0.78,AQLT
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"1,660,204.80",0.7,"1,660,204.80","7,104.00",233.7,United States,NASDAQ,USD,1,AQLT
PEP,PEPSICO INC,Consumer Staples,Equity,"1,640,388.51",0.69,"1,640,388.51","10,449.00",156.99,United States,NASDAQ,USD,1,AQLT
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"1,611,771.00",0.68,"1,611,771.00","9,660.00",166.85,United States,NYSE,USD,1,AQLT
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"1,463,766.99",0.62,"1,463,766.99","9,579.00",152.81,United States,NYSE,USD,1,AQLT
BHP,BHP GROUP LTD,Materials,Equity,"1,406,510.92",0.59,"1,406,510.92","35,264.00",39.89,Australia,Asx - All Markets,USD,1.4,AQLT
QCOM,QUALCOMM INC,Information Technology,Equity,"1,369,149.12",0.58,"1,369,149.12","9,956.00",137.52,United States,NASDAQ,USD,1,AQLT
TJX,TJX INC,Consumer Discretionary,Equity,"1,352,254.92",0.57,"1,352,254.92","8,468.00",159.69,United States,NYSE,USD,1,AQLT
NOVO B,NOVO NORDISK CLASS B,Health Care,Equity,"1,316,332.00",0.55,"1,316,332.00","32,403.00",40.62,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,6.35,AQLT
ABT,ABBOTT LABORATORIES,Health Care,Equity,"1,312,512.00",0.55,"1,312,512.00","13,672.00",96,United States,NYSE,USD,1,AQLT
