Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date,ETF
7611,HIDAY HIDAKA CORP,Consumer Discretionary,Equity,"2,648,957.76",0,"2,648,957.76","141,300.00",18.75,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
2760,TOKYO ELECTRON DEVICE LTD,Information Technology,Equity,"2,653,091.44",0,"2,653,091.44","128,600.00",20.63,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
8218,KOMERI LTD,Consumer Discretionary,Equity,"2,654,477.31",0,"2,654,477.31","118,700.00",22.36,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
7976,MITSUBISHI PENCIL LTD,Industrials,Equity,"2,660,766.01",0,"2,660,766.01","169,700.00",15.68,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
ARIS,ARISTON HOLDING NV,Industrials,Equity,"2,636,299.18",0,"2,636,299.18","548,912.00",4.8,Italy,Borsa Italiana,USD,0.85,--,IEFA
5253,COVER CORP,Communication,Equity,"2,612,365.74",0,"2,612,365.74","286,000.00",9.13,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
ELIOR,ELIOR GROUP SA,Consumer Discretionary,Equity,"2,613,862.67",0,"2,613,862.67","865,355.00",3.02,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
TRUE B,TRUECALLER CLASS B,Information Technology,Equity,"2,613,998.70",0,"2,613,998.70","2,038,685.00",1.28,Sweden,Nasdaq Omx Nordic,USD,9.15,--,IEFA
2326,DIGITAL ARTS INC,Information Technology,Equity,"2,623,830.67",0,"2,623,830.67","71,200.00",36.85,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
FSG,FORESIGHT GROUP HOLDINGS LTD,Financials,Equity,"2,603,722.64",0,"2,603,722.64","478,956.00",5.44,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
BYS,BYSTRONIC AG,Industrials,Equity,"2,577,725.70",0,"2,577,725.70","9,446.00",272.89,Switzerland,SIX Swiss Exchange,USD,0.78,--,IEFA
4180,APPIER GROUP INC,Information Technology,Equity,"2,579,802.83",0,"2,579,802.83","436,600.00",5.91,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
8074,YUASA LTD,Industrials,Equity,"2,565,359.54",0,"2,565,359.54","68,100.00",37.67,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
4819,DIGITAL GARAGE INC,Information Technology,Equity,"2,546,336.58",0,"2,546,336.58","175,900.00",14.48,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
2510,T.S. LINES LTD,Industrials,Equity,"2,547,436.17",0,"2,547,436.17","2,293,000.00",1.11,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.83,--,IEFA
BVS,BRAVURA SOLUTIONS LTD,Information Technology,Equity,"2,552,198.95",0,"2,552,198.95","1,634,646.00",1.56,Australia,Asx - All Markets,USD,1.4,--,IEFA
XFAB,X-FAB SILICON FOUNDRIES,Information Technology,Equity,"2,553,809.59",0,"2,553,809.59","343,817.00",7.43,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
9110,NS UNITED KAIUN KAISHA LTD,Industrials,Equity,"2,522,536.14",0,"2,522,536.14","56,400.00",44.73,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
8566,RICOH LEASING LTD,Financials,Equity,"2,525,698.45",0,"2,525,698.45","65,300.00",38.68,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
NYAX,NAYAX LTD,Information Technology,Equity,"2,531,578.05",0,"2,531,578.05","40,228.00",62.93,Israel,Tel Aviv Stock Exchange,USD,2.99,--,IEFA
1112,HEALTH AND HAPPINESS (H&H) INTERNA,Consumer Staples,Equity,"2,501,549.60",0,"2,501,549.60","1,432,000.00",1.75,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.83,--,IEFA
2157,KOSHIDAKA HOLDINGS LTD,Consumer Discretionary,Equity,"2,508,622.00",0,"2,508,622.00","376,400.00",6.66,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
4985,EARTH CORP,Consumer Staples,Equity,"2,515,398.91",0,"2,515,398.91","83,800.00",30.02,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
TOKMAN,TOKMANNI GROUP CORPORATION,Consumer Discretionary,Equity,"2,518,136.94",0,"2,518,136.94","274,959.00",9.16,Finland,Nasdaq Omx Helsinki Ltd.,USD,0.85,--,IEFA
DIA,DISTRIBUIDORA INTERNACIONAL DE ALI,Consumer Staples,Equity,"2,490,207.38",0,"2,490,207.38","50,428.00",49.38,Spain,Bolsa De Madrid,USD,0.85,--,IEFA
9757,FUNAI SOKEN HOLDINGS INC,Industrials,Equity,"2,464,943.15",0,"2,464,943.15","338,200.00",7.29,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
4722,FUTURE CORP,Information Technology,Equity,"2,471,578.95",0,"2,471,578.95","234,800.00",10.53,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
4958,T HASEGAWA LTD,Materials,Equity,"2,478,591.45",0,"2,478,591.45","137,000.00",18.09,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
IRES,IRISH RESIDENTIAL PROPERTIES PLC,Real Estate,Equity,"2,446,729.52",0,"2,446,729.52","1,953,496.00",1.25,Ireland,Irish Stock Exchange - All Market,USD,0.85,--,IEFA
MUX,MUTARES,Financials,Equity,"2,454,491.71",0,"2,454,491.71","83,908.00",29.25,Germany,Xetra,USD,0.85,--,IEFA
SLIGR,SLIGRO FOOD GROUP NV,Consumer Staples,Equity,"2,458,316.36",0,"2,458,316.36","156,784.00",15.68,Netherlands,Euronext Amsterdam,USD,0.85,--,IEFA
MCAP,MEDCAP,Health Care,Equity,"2,411,092.16",0,"2,411,092.16","43,335.00",55.64,Sweden,Nasdaq Omx Nordic,USD,9.15,--,IEFA
PHN,PHARMANUTRA,Consumer Staples,Equity,"2,426,833.39",0,"2,426,833.39","25,234.00",96.17,Italy,Borsa Italiana,USD,0.85,--,IEFA
9746,TKC CORP,Industrials,Equity,"2,392,591.89",0,"2,392,591.89","102,100.00",23.43,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
ASY,ASSYSTEM SA,Industrials,Equity,"2,395,507.78",0,"2,395,507.78","44,384.00",53.97,France,Nyse Euronext - Euronext Paris,USD,0.85,--,IEFA
CRED A,CREADES CLASS A,Financials,Equity,"2,383,719.16",0,"2,383,719.16","301,203.00",7.91,Sweden,Nasdaq Omx Nordic,USD,9.15,--,IEFA
INRM,INROM CONSTRUCTION INDUSTRIES LTD,Industrials,Equity,"2,386,848.78",0,"2,386,848.78","271,369.00",8.8,Israel,Tel Aviv Stock Exchange,USD,2.99,--,IEFA
8097,SAN-AI OBBLI LTD,Energy,Equity,"2,387,501.97",0,"2,387,501.97","164,000.00",14.56,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
SBEN,SHIKUN & BINUI ENERGY LTD,Industrials,Equity,"2,387,560.86",0,"2,387,560.86","1,928,762.00",1.24,Israel,Tel Aviv Stock Exchange,USD,2.99,--,IEFA
SNR,SENIOR PLC,Industrials,Equity,"2,369,671.63",0,"2,369,671.63","609,505.00",3.89,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
2109,MITSUI DM SUGAR LTD,Consumer Staples,Equity,"2,354,266.28",0,"2,354,266.28","108,800.00",21.64,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
SMT,SUMMIT REAL ESTATE HOLDINGS LTD,Real Estate,Equity,"2,354,747.60",0,"2,354,747.60","123,458.00",19.07,Israel,Tel Aviv Stock Exchange,USD,2.99,--,IEFA
6379,RAIZNEXT CORP,Industrials,Equity,"2,323,972.41",0,"2,323,972.41","161,100.00",14.43,Japan,Tokyo Stock Exchange,USD,158.75,--,IEFA
L1G,L1 GROUP LTD,Financials,Equity,"2,288,511.19",0,"2,288,511.19","2,840,313.00",0.81,Australia,Asx - All Markets,USD,1.4,--,IEFA
EWG,W.A.G PAYMENT SOLUTIONS PLC,Financials,Equity,"2,290,076.89",0,"2,290,076.89","1,452,374.00",1.58,United Kingdom,London Stock Exchange,USD,0.74,--,IEFA
YSN,SECUNET SECURITY AG,Information Technology,Equity,"2,298,356.18",0,"2,298,356.18","10,148.00",226.48,Germany,Xetra,USD,0.85,--,IEFA
