Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,ETF
ABT,ABBOTT LABORATORIES,Health Care,Equity,"291,179,616.00",0.58,"291,179,616.00","3,033,121.00",96.00,United States,NYSE,USD,1.00,QUAL
BLK,BLACKROCK INC,Financials,Equity,"281,338,264.90",0.56,"281,338,264.90","268,345.00","1,048.42",United States,NYSE,USD,1.00,QUAL
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"274,111,929.00",0.55,"274,111,929.00","860,634.00",318.50,United States,NASDAQ,USD,1.00,QUAL
CTAS,CINTAS CORP,Industrials,Equity,"271,654,187.26",0.54,"271,654,187.26","1,520,254.00",178.69,United States,NASDAQ,USD,1.00,QUAL
ULTA,ULTA BEAUTY INC,Consumer Discretionary,Equity,"265,595,467.92",0.53,"265,595,467.92","464,133.00",572.24,United States,NASDAQ,USD,1.00,QUAL
PHM,PULTEGROUP INC,Consumer Discretionary,Equity,"261,179,427.60",0.52,"261,179,427.60","2,050,074.00",127.40,United States,NYSE,USD,1.00,QUAL
HAL,HALLIBURTON,Energy,Equity,"257,945,240.84",0.52,"257,945,240.84","7,032,313.00",36.68,United States,NYSE,USD,1.00,QUAL
FIX,COMFORT SYSTEMS USA INC,Industrials,Equity,"246,885,865.32",0.50,"246,885,865.32","146,948.00","1,680.09",United States,NYSE,USD,1.00,QUAL
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Equity,"244,849,144.28",0.49,"244,849,144.28","547,859.00",446.92,United States,NYSE,USD,1.00,QUAL
GWW,WW GRAINGER INC,Industrials,Equity,"244,046,294.40",0.49,"244,046,294.40","209,824.00","1,163.10",United States,NYSE,USD,1.00,QUAL
NVR,NVR INC,Consumer Discretionary,Equity,"236,031,028.26",0.47,"236,031,028.26","33,258.00","7,096.97",United States,NYSE,USD,1.00,QUAL
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary,Equity,"232,064,570.71",0.47,"232,064,570.71","1,391,191.00",166.81,United States,NASDAQ,USD,1.00,QUAL
SPGI,S&P GLOBAL INC,Financials,Equity,"231,872,678.28",0.47,"231,872,678.28","523,722.00",442.74,United States,NYSE,USD,1.00,QUAL
PEP,PEPSICO INC,Consumer Staples,Equity,"226,093,858.20",0.45,"226,093,858.20","1,440,180.00",156.99,United States,NASDAQ,USD,1.00,QUAL
DVN,DEVON ENERGY CORP,Energy,Equity,"223,818,367.08",0.45,"223,818,367.08","4,980,382.00",44.94,United States,NYSE,USD,1.00,QUAL
FAST,FASTENAL,Industrials,Equity,"222,115,524.36",0.45,"222,115,524.36","4,875,231.00",45.56,United States,NASDAQ,USD,1.00,QUAL
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,Equity,"220,933,768.14",0.44,"220,933,768.14","1,989,319.00",111.06,United States,NYSE,USD,1.00,QUAL
NEM,NEWMONT,Materials,Equity,"219,492,084.24",0.44,"219,492,084.24","1,911,286.00",114.84,United States,NYSE,USD,1.00,QUAL
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"213,536,342.88",0.43,"213,536,342.88","486,216.00",439.18,United States,NASDAQ,USD,1.00,QUAL
PGR,PROGRESSIVE CORP,Financials,Equity,"203,010,934.28",0.41,"203,010,934.28","996,226.00",203.78,United States,NYSE,USD,1.00,QUAL
CME,CME GROUP INC CLASS A,Financials,Equity,"198,782,885.55",0.40,"198,782,885.55","691,539.00",287.45,United States,NASDAQ,USD,1.00,QUAL
ADSK,AUTODESK INC,Information Technology,Equity,"188,717,473.62",0.38,"188,717,473.62","769,302.00",245.31,United States,NASDAQ,USD,1.00,QUAL
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Equity,"183,471,624.20",0.37,"183,471,624.20","883,945.00",207.56,United States,NYSE,USD,1.00,QUAL
EME,EMCOR GROUP INC,Industrials,Equity,"161,788,028.15",0.32,"161,788,028.15","194,665.00",831.11,United States,NYSE,USD,1.00,QUAL
MCO,MOODYS CORP,Financials,Equity,"160,246,441.30",0.32,"160,246,441.30","348,430.00",459.91,United States,NYSE,USD,1.00,QUAL
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,Equity,"154,370,099.70",0.31,"154,370,099.70","691,065.00",223.38,United States,NASDAQ,USD,1.00,QUAL
BBY,BEST BUY INC,Consumer Discretionary,Equity,"148,964,326.54",0.30,"148,964,326.54","2,225,341.00",66.94,United States,NYSE,USD,1.00,QUAL
IDXX,IDEXX LABORATORIES INC,Health Care,Equity,"145,778,993.44",0.29,"145,778,993.44","250,024.00",583.06,United States,NASDAQ,USD,1.00,QUAL
SHW,SHERWIN WILLIAMS,Materials,Equity,"143,304,969.17",0.29,"143,304,969.17","416,669.00",343.93,United States,NYSE,USD,1.00,QUAL
MRSH,MARSH INC,Financials,Equity,"134,145,353.55",0.27,"134,145,353.55","768,345.00",174.59,United States,NYSE,USD,1.00,QUAL
PSA,PUBLIC STORAGE REIT,Real Estate,Equity,"129,845,862.82",0.26,"129,845,862.82","415,946.00",312.17,United States,NYSE,USD,1.00,QUAL
TRV,TRAVELERS COMPANIES INC,Financials,Equity,"122,271,581.70",0.25,"122,271,581.70","406,515.00",300.78,United States,NYSE,USD,1.00,QUAL
ZTS,ZOETIS INC CLASS A,Health Care,Equity,"118,603,848.48",0.24,"118,603,848.48","966,459.00",122.72,United States,NYSE,USD,1.00,QUAL
PAYX,PAYCHEX INC,Industrials,Equity,"110,180,020.74",0.22,"110,180,020.74","1,183,586.00",93.09,United States,NASDAQ,USD,1.00,QUAL
CBRE,CBRE GROUP INC CLASS A,Real Estate,Equity,"103,510,106.00",0.21,"103,510,106.00","678,310.00",152.60,United States,NYSE,USD,1.00,QUAL
AFL,AFLAC INC,Financials,Equity,"94,151,523.55",0.19,"94,151,523.55","821,065.00",114.67,United States,NYSE,USD,1.00,QUAL
EA,ELECTRONIC ARTS INC,Communication,Equity,"93,220,427.36",0.19,"93,220,427.36","458,401.00",203.36,United States,NASDAQ,USD,1.00,QUAL
